date,open,high,low,close,volume,barCount,average
20201224  09:30:00,642.99,652.22,641.0,649.71,26732,11621,647.026
20201224  10:00:00,649.59,665.24,649.5,660.67,57187,26998,659.266
20201224  11:00:00,660.69,666.01,657.64,665.8,30735,15181,663.205
20201224  12:00:00,665.79,666.09,659.0,661.66,33333,15444,661.804
